Sale_ID,Listing_ID,Sale_Date,Sale_Price,Days_On_Market
SAL0001,LST0289,2023-09-17,29507861,59
SAL0002,LST0337,2024-08-21,14014029,76
SAL0003,LST0332,2022-05-15,17367753,30
SAL0004,LST0421,2024-06-30,19668424,69
SAL0005,LST0262,2024-09-20,37260728,98
SAL0006,LST0310,2022-12-10,8594839,33
SAL0007,LST0084,2023-09-09,24254542,8
SAL0008,LST0215,2024-05-12,14965943,38
SAL0009,LST0497,2022-12-07,31423684,97
SAL0010,LST0079,2022-12-10,21330318,155
SAL0011,LST0162,2022-07-12,81556151,100
SAL0012,LST0404,2022-06-04,9499433,75
SAL0013,LST0223,2023-11-10,7749002,103
SAL0014,LST0195,2022-08-05,58556217,32
SAL0015,LST0014,2022-08-03,23405521,159
SAL0016,LST0495,2023-03-25,47993812,155
SAL0017,LST0127,2024-03-13,9388286,172
SAL0018,LST0040,2024-05-09,24511643,54
SAL0019,LST0139,2023-03-30,27581002,30
SAL0020,LST0064,2023-04-09,11482912,144
SAL0021,LST0273,2023-02-25,11872594,82
SAL0022,LST0057,2023-07-08,8210840,56
SAL0023,LST0351,2024-07-13,39005723,44
SAL0024,LST0281,2024-01-26,28255085,54
SAL0025,LST0209,2024-08-16,28622390,69
SAL0026,LST0034,2024-11-09,58383610,148
SAL0027,LST0169,2023-02-20,62007267,98
SAL0028,LST0328,2023-03-05,11255280,35
SAL0029,LST0046,2024-04-17,29162304,22
SAL0030,LST0186,2023-11-09,11844202,139
SAL0031,LST0466,2022-08-24,12448649,133
SAL0032,LST0171,2022-07-07,8100813,47
SAL0033,LST0399,2023-02-16,45606196,38
SAL0034,LST0140,2023-06-17,19254570,149
SAL0035,LST0075,2024-03-02,9442679,53
SAL0036,LST0445,2023-11-09,45289391,106
SAL0037,LST0409,2022-11-02,24443966,141
SAL0038,LST0116,2023-10-08,37956564,24
SAL0039,LST0141,2024-06-10,13148300,135
SAL0040,LST0006,2022-08-07,29885237,104
SAL0041,LST0051,2023-09-10,26908580,74
